 [2017-01-16 18:03:56,930] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:432)] [Creating instance of bean 'sysCodeDao'] 
 [2017-01-16 18:03:56,930] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,931] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.checkConfigMembers(InjectionMetadata.java:71)] [Registered injected element on class [jk.dao.impl.SysCodeDaoImpl]: AutowiredMethodElement for public void jk.dao.impl.BaseDaoImpl.setSqlSessionFactory(org.apache.ibatis.session.SqlSessionFactory)] 
 [2017-01-16 18:03:56,932] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:506)] [Eagerly caching bean 'sysCodeDao' to allow for resolving potential circular references] 
 [2017-01-16 18:03:56,939] [DEBUG] [org.springframework.beans.factory.annotation.InjectionMetadata.inject(InjectionMetadata.java:85)] [Processing injected method of bean 'sysCodeDao': AutowiredMethodElement for public void jk.dao.impl.BaseDaoImpl.setSqlSessionFactory(org.apache.ibatis.session.SqlSessionFactory)] 
 [2017-01-16 18:03:56,940] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'sqlSessionFactory'] 
 [2017-01-16 18:03:56,941] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.invokeInitMethods(AbstractAutowireCapableBeanFactory.java:1555)] [Invoking afterPropertiesSet() on bean with name 'sysCodeDao'] 
 [2017-01-16 18:03:56,941] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,942] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,942] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:460)] [Finished creating instance of bean 'sysCodeDao'] 
 [2017-01-16 18:03:56,943] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.context.support.PropertySourcesPlaceholderConfigurer#0'] 
 [2017-01-16 18:03:56,943] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'dataSource'] 
 [2017-01-16 18:03:56,943] [DEBUG] [org.springframework.beans.factory.support.DefaultSingletonBeanRegistry.getSingleton(DefaultSingletonBeanRegistry.java:215)] [Creating shared instance of singleton bean 'transactionManager'] 
 [2017-01-16 18:03:56,943] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.createBean(AbstractAutowireCapableBeanFactory.java:432)] [Creating instance of bean 'transactionManager'] 
 [2017-01-16 18:03:56,944] [DEBUG] [org.springframework.beans.factory.support.AbstractBeanFactory.doGetBean(AbstractBeanFactory.java:246)] [Returning cached instance of singleton bean 'org.springframework.aop.support.DefaultBeanFactoryPointcutAdvisor#0'] 
 [2017-01-16 18:03:56,949] [DEBUG] [org.springframework.beans.factory.support.AbstractAutowireCapableBeanFactory.doCreateBean(AbstractAutowireCapableBeanFactory.java:506)] [Eagerly caching bean 'transactionManager' to allow for resolving potential circular references] 
